Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-067-1002,38.578783,-121.489926,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-3001,38.600460999999996,-121.273839,34.0,COMMERCIAL,RURAL,California,Sacramento,67,Rancho Cordova (Mills),"Sacramento--Roseville--Arden-Arcade, CA"
06-067-4001,38.556326,-121.458499,8.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-5001,38.612683000000004,-121.394953,19.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-5002,38.716846999999994,-121.593014,30.0,AGRICULTURAL,RURAL,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-5003,38.494475,-121.21113100000001,58.0,AGRICULTURAL,RURAL,California,Sacramento,67,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-069-0001,36.855509999999995,-121.39299,107.0,COMMERCIAL,SUBURBAN,California,San Benito,69,Hollister,"San Jose-Sunnyvale-Santa Clara, CA"
06-069-0002,36.843425,-121.3621,126.0,RESIDENTIAL,RURAL,California,San Benito,69,Hollister,"San Jose-Sunnyvale-Santa Clara, CA"
06-069-0003,36.48324,-121.15688,317.0,FOREST,RURAL,California,San Benito,69,Not in a City,"San Jose-Sunnyvale-Santa Clara, CA"
06-071-0001,34.89398,-117.024804,690.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Barstow,"Riverside-San Bernardino-Ontario, CA"
06-071-0003,34.107512,-117.276987,317.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
06-071-0004,34.240302,-116.87280600000001,2098.0,,,California,San Bernardino,71,Big Bear Lake (corporate name for Big Bear),"Riverside-San Bernardino-Ontario, CA"
06-071-0005,34.2431,-117.27235,1384.0,RESIDENTIAL,RURAL,California,San Bernardino,71,Crestline,"Riverside-San Bernardino-Ontario, CA"
06-071-0006,35.759954,-117.374779,506.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Trona,"Riverside-San Bernardino-Ontario, CA"
06-071-0008,34.237505999999996,-117.658111,1295.0,,RURAL,California,San Bernardino,71,Mount Baldy (Mt. Baldy),"Riverside-San Bernardino-Ontario, CA"
06-071-0009,34.313614,-117.50088400000001,1024.0,,RURAL,California,San Bernardino,71,Cajon,"Riverside-San Bernardino-Ontario, CA"
06-071-0012,34.4251,-117.5898,4100.0,COMMERCIAL,RURAL,California,San Bernardino,71,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-071-0013,34.41056,-116.9072,1036.0,INDUSTRIAL,RURAL,California,San Bernardino,71,Lucerne Valley,"Riverside-San Bernardino-Ontario, CA"
06-071-0014,34.512496,-117.33087900000001,876.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-0015,35.774954,-117.367557,498.0,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,Trona,"Riverside-San Bernardino-Ontario, CA"
06-071-0017,34.141946000000004,-116.05583600000001,607.0,MOBILE,URBAN AND CENTER CITY,California,San Bernardino,71,Twentynine Palms,"Riverside-San Bernardino-Ontario, CA"
06-071-0025,34.037234000000005,-117.69088899999998,287.0,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA"
06-071-0026,34.06812,-117.52578999999999,300.0,MOBILE,URBAN AND CENTER CITY,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA"
06-071-0027,34.030833,-117.61721999999999,258.0,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA"
06-071-0101,34.119189,-117.64088100000001,149.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0102,34.090022999999995,-117.665049,119.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0103,34.100021999999996,-117.65088100000001,448.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0106,34.100021999999996,-117.65088100000001,3.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0107,34.100021999999996,-117.65088100000001,3.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0108,34.100021999999996,-117.65088100000001,375.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-0109,34.572216999999995,-117.192543,914.0,DESERT,RURAL,California,San Bernardino,71,Apple Valley,"Riverside-San Bernardino-Ontario, CA"
06-071-0110,34.863876,-116.78558899999999,587.0,DESERT,RURAL,California,San Bernardino,71,Daggett,"Riverside-San Bernardino-Ontario, CA"
06-071-0217,34.239173,-117.621721,1335.0,FOREST,RURAL,California,San Bernardino,71,Mount Baldy (Mt. Baldy),"Riverside-San Bernardino-Ontario, CA"
06-071-0306,34.510961,-117.32553999999999,913.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-1000,35.759954,-117.374779,506.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Trona,"Riverside-San Bernardino-Ontario, CA"
06-071-1001,35.1019,-115.7767,1212.0,DESERT,RURAL,California,San Bernardino,71,Kelso,"Riverside-San Bernardino-Ontario, CA"
06-071-1002,34.012512,-117.68838799999999,222.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Chino,"Riverside-San Bernardino-Ontario, CA"
06-071-1003,34.098356,-117.65088100000001,379.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-1004,34.10374,-117.62913999999999,369.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-1005,34.10001,-117.63422,369.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-1101,34.141946000000004,-116.059169,650.0,AGRICULTURAL,RURAL,California,San Bernardino,71,Twentynine Palms,"Riverside-San Bernardino-Ontario, CA"
06-071-1201,34.096967,-117.649492,384.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-1234,35.77417,-117.3714,545.0,DESERT,RURAL,California,San Bernardino,71,Searles Valley,"Riverside-San Bernardino-Ontario, CA"
06-071-1301,34.534181,-117.293099,840.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-1401,34.034181,-117.05503200000001,759.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Yucaipa,"Riverside-San Bernardino-Ontario, CA"
06-071-1407,34.093979,-117.527254,347.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-071-2001,34.012512,-117.68838799999999,222.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Chino,"Riverside-San Bernardino-Ontario, CA"
06-071-2002,34.10002,-117.49201000000001,381.0,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,Fontana,"Riverside-San Bernardino-Ontario, CA"
06-071-2003,34.509718,-117.320323,876.0,MOBILE,URBAN AND CENTER CITY,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-2004,34.534996,-117.292823,747.0,MOBILE,SUBURBAN,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-3001,34.106122,-117.481994,386.0,COMMERCIAL,RURAL,California,San Bernardino,71,Fontana,"Riverside-San Bernardino-Ontario, CA"
06-071-3002,34.078356,-117.65199199999999,335.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA"
06-071-4001,34.41639,-117.2858,1006.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Hesperia,"Riverside-San Bernardino-Ontario, CA"
06-071-4002,34.06668,-117.15087,408.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Redlands,"Riverside-San Bernardino-Ontario, CA"
06-071-4003,34.05977,-117.14731,0.0,RESIDENTIAL,SUBURBAN,California,San Bernardino,71,Redlands,"Riverside-San Bernardino-Ontario, CA"
06-071-5001,34.840581,-114.60691899999999,77.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Needles,"Riverside-San Bernardino-Ontario, CA"
06-071-5002,33.97697,-117.641158,204.0,AGRICULTURAL,RURAL,California,San Bernardino,71,Chino,"Riverside-San Bernardino-Ontario, CA"
06-071-6001,34.054456,-117.588664,330.0,COMMERCIAL,RURAL,California,San Bernardino,71,Ontario,"Riverside-San Bernardino-Ontario, CA"
06-071-6002,34.146688,-117.650326,552.0,AGRICULTURAL,RURAL,California,San Bernardino,71,Upland,"Riverside-San Bernardino-Ontario, CA"
06-071-7001,34.055027,-117.18614699999999,413.0,COMMERCIAL,SUBURBAN,California,San Bernardino,71,Redlands,"Riverside-San Bernardino-Ontario, CA"
06-071-7002,34.523329,-117.30448999999999,895.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,Victorville,"Riverside-San Bernardino-Ontario, CA"
06-071-8001,34.26464,-116.86147,2056.0,COMMERCIAL,SUBURBAN,California,San Bernardino,71,Big Bear City,"Riverside-San Bernardino-Ontario, CA"
06-071-9000,34.724711,-116.15862299999999,543.0,DESERT,RURAL,California,San Bernardino,71,Ludlow,"Riverside-San Bernardino-Ontario, CA"
06-071-9001,34.102234,-117.286709,311.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
06-071-9002,34.06957,-116.38893,1243.0,DESERT,RURAL,California,San Bernardino,71,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-071-9003,34.737764,-117.56588899999998,1256.0,DESERT,RURAL,California,San Bernardino,71,El Mirage,"Riverside-San Bernardino-Ontario, CA"
06-071-9004,34.106678,-117.27406299999998,0.0,COMMERCIAL,SUBURBAN,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
06-071-9005,34.090012,-117.254208,0.0,INDUSTRIAL,SUBURBAN,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
06-071-9006,34.375001,-117.44866,1295.0,FOREST,RURAL,California,San Bernardino,71,Cajon,"Riverside-San Bernardino-Ontario, CA"
06-071-9007,34.737764,-117.56588899999998,1013.0,DESERT,RURAL,California,San Bernardino,71,Hinkley,"Riverside-San Bernardino-Ontario, CA"
06-071-9008,34.611659,-117.289768,1366.0,FOREST,RURAL,California,San Bernardino,71,Helendale,"Riverside-San Bernardino-Ontario, CA"
06-071-9009,34.194069,-116.913614,1720.0,FOREST,RURAL,California,San Bernardino,71,Not in a city,"Riverside-San Bernardino-Ontario, CA"
06-071-9010,34.193925,-116.91406299999998,1726.0,FOREST,RURAL,California,San Bernardino,71,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-071-9011,34.08555,-117.31301,320.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Bernardino,71,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
06-073-0001,32.631242,-117.05908799999999,53.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,Chula Vista,"San Diego-Carlsbad, CA"
06-073-0002,32.79394,-116.96113799999999,133.0,COMMERCIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-0003,32.791194,-116.94209199999999,143.0,COMMERCIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-0005,33.202686,-117.36679699999999,37.0,,,California,San Diego,73,Oceanside,"San Diego-Carlsbad, CA"
06-073-0006,32.836461,-117.128752,135.0,COMMERCIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-0007,32.717265000000005,-117.166353,15.0,MOBILE,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-0009,32.715607,-117.16475600000001,0.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-0077,32.6509,-116.365,1018.15,DESERT,RURAL,California,San Diego,73,Campo,"San Diego-Carlsbad, CA"
06-073-0078,32.650912,-116.36493999999999,1013.0,DESERT,RURAL,California,San Diego,73,Not in a City,"San Diego-Carlsbad, CA"
06-073-1001,32.952124,-117.26408799999999,35.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,Del Mar,"San Diego-Carlsbad, CA"
06-073-1002,33.127769,-117.07508600000001,202.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,Escondido,"San Diego-Carlsbad, CA"
06-073-1003,33.196703,-117.346704,15.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,Oceanside,"San Diego-Carlsbad, CA"
06-073-1004,32.727273,-117.154477,14.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1005,32.73423,-117.063353,130.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1006,32.842318,-116.768293,627.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,Alpine,"San Diego-Carlsbad, CA"
06-073-1007,32.709224,-117.15484099999999,6.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1008,33.217055,-117.39617700000001,16.0,MILITARY RESERVATION,SUBURBAN,California,San Diego,73,Camp Pendleton South,"San Diego-Carlsbad, CA"
06-073-1009,32.698663,-117.13308700000002,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1010,32.701492,-117.149653,3.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1011,32.725226,-116.36520300000001,1372.21,DESERT,RURAL,California,San Diego,73,Boulevard,"San Diego-Carlsbad, CA"
06-073-1012,32.840610999999996,-117.249619,205.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1014,32.57816,-116.92135,199.0,COMMERCIAL,RURAL,California,San Diego,73,Otay Mesa,"San Diego-Carlsbad, CA"
06-073-1015,33.184861,-117.12966899999999,475.0,AGRICULTURAL,RURAL,California,San Diego,73,Not in a City,"San Diego-Carlsbad, CA"
06-073-1016,32.845709,-117.12396399999999,134.0,MILITARY RESERVATION,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1017,32.985442,-117.08218000000001,219.0,COMMERCIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1018,32.817978000000004,-116.96813300000001,119.0,COMMERCIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-1019,32.543475,-117.029028,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1020,33.128569,-117.27166499999998,99.0,COMMERCIAL,SUBURBAN,California,San Diego,73,Carlsbad,"San Diego-Carlsbad, CA"
06-073-1021,32.824985999999996,-116.962575,118.0,COMMERCIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-1022,32.789565,-116.944308,141.0,COMMERCIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-1023,33.130897,-117.27238899999999,96.0,COMMERCIAL,SUBURBAN,California,San Diego,73,Carlsbad,"San Diego-Carlsbad, CA"
06-073-1024,32.542679,-117.030749,19.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1025,32.552794,-117.04728600000001,18.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1026,32.710177,-117.142665,34.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-1201,33.362593,-117.09023,109.728,COMMERCIAL,RURAL,California,San Diego,73,Pala,"San Diego-Carlsbad, CA"
06-073-1210,33.273501,-116.857087,701.04,RESIDENTIAL,RURAL,California,San Diego,73,Not in a City,"San Diego-Carlsbad, CA"
06-073-2000,32.735455,-116.34536499999999,50.0,DESERT,RURAL,California,San Diego,73,Boulevard,"San Diego-Carlsbad, CA"
06-073-2001,32.79034,-116.960572,135.0,INDUSTRIAL,SUBURBAN,California,San Diego,73,El Cajon,"San Diego-Carlsbad, CA"
06-073-2002,33.176716,-117.36030900000002,20.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,Oceanside,"San Diego-Carlsbad, CA"
06-073-2003,32.771728,-117.25058,5.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-2005,32.777561,-117.11474299999999,29.0,COMMERCIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-2007,32.552164000000005,-116.937772,155.0,MOBILE,RURAL,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-3001,33.124496,-117.07641299999999,198.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,Escondido,"San Diego-Carlsbad, CA"
06-073-4001,32.5834,-117.11974199999999,9.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,Imperial Beach,"San Diego-Carlsbad, CA"
06-073-5001,32.715329,-117.157533,32.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-5501,33.272583000000004,-116.95675,280.0,RESIDENTIAL,RURAL,California,San Diego,73,Not in a City,"San Diego-Carlsbad, CA"
06-073-6001,32.567012,-116.985293,149.0,RESIDENTIAL,RURAL,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-6500,32.700728000000005,-117.16106699999999,3.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-6501,32.702161,-117.11962199999999,16.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-6502,32.70095,-117.14439399999999,15.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Diego,73,San Diego,"San Diego-Carlsbad, CA"
06-073-7001,32.9981,-117.267537,55.0,UNKNOWN,UNKNOWN,California,San Diego,73,Solana Beach,"San Diego-Carlsbad, CA"
06-073-8001,33.210049,-117.249195,113.0,RESIDENTIAL,SUBURBAN,California,San Diego,73,Vista,"San Diego-Carlsbad, CA"
06-075-0001,37.77879,-122.419106,17.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-0002,37.787957,-122.407439,0.0,MOBILE,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-0003,37.784,-122.4216,42.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-0004,37.75493,-122.388026,6.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-0005,37.765946,-122.39904399999999,5.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-0006,37.7338,-122.3824,82.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-1001,37.787957,-122.407439,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-1002,37.774623,-122.41688300000001,31.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-075-6002,37.71481,-122.50046999999999,57.0,RESIDENTIAL,SUBURBAN,California,San Francisco,75,San Francisco,"San Francisco-Oakland-Hayward, CA"
06-077-0001,38.133237,-121.275747,22.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Joaquin,77,Lodi,"Stockton-Lodi, CA"
06-077-0002,38.116586,-121.28633700000002,12.0,RESIDENTIAL,SUBURBAN,California,San Joaquin,77,Lodi,"Stockton-Lodi, CA"
06-077-0003,37.95213,-121.283245,5.0,COMMERCIAL,SUBURBAN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0004,37.954075,-121.289634,3.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0005,37.848259999999996,-121.44689199999999,5.0,AGRICULTURAL,RURAL,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0006,38.000479,-121.31716999999999,13.0,COMMERCIAL,SUBURBAN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0007,38.021033,-121.33633700000001,134.0,RESIDENTIAL,SUBURBAN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0008,37.995201,-121.30911499999999,13.0,COMMERCIAL,SUBURBAN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-0009,37.906869,-121.148275,17.0,UNKNOWN,UNKNOWN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-1001,37.738524,-121.123516,20.0,MOBILE,URBAN AND CENTER CITY,California,San Joaquin,77,Ripon,"Stockton-Lodi, CA"
06-077-1002,37.950741,-121.268523,19.0,RESIDENTIAL,URBAN AND CENTER CITY,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-2001,37.975463,-121.298802,3.0,,,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-077-2010,37.793392,-121.247874,11.0,RESIDENTIAL,SUBURBAN,California,San Joaquin,77,Manteca,"Stockton-Lodi, CA"
06-077-3001,37.739911,-121.43158000000001,24.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Joaquin,77,Tracy,"Stockton-Lodi, CA"
06-077-3002,37.739929,-121.533002,31.0,AGRICULTURAL,RURAL,California,San Joaquin,77,Tracy,"Stockton-Lodi, CA"
06-077-3003,37.737984999999995,-121.535503,30.0,AGRICULTURAL,RURAL,California,San Joaquin,77,Tracy,"Stockton-Lodi, CA"
06-077-3005,37.682635,-121.442495,30.0,RESIDENTIAL,SUBURBAN,California,San Joaquin,77,Tracy,"Stockton-Lodi, CA"
06-077-3010,38.029626,-121.354026,7.0,RESIDENTIAL,SUBURBAN,California,San Joaquin,77,Stockton,"Stockton-Lodi, CA"
06-079-0001,35.174976,-120.53711100000001,100.0,UNKNOWN,UNKNOWN,California,San Luis Obispo,79,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-0002,35.12692,-120.58267,18.0,INDUSTRIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-0003,35.320252,-120.696284,129.0,RESIDENTIAL,RURAL,California,San Luis Obispo,79,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-0005,35.614668,-120.656912,100.0,RESIDENTIAL,SUBURBAN,California,San Luis Obispo,79,El Paso de Robles (corporate name for Paso Robles),"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-1001,35.67358,-120.63711299999999,255.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-1002,35.361363,-120.812122,6.0,RESIDENTIAL,RURAL,California,San Luis Obispo,79,Morro Bay,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-1004,35.206919,-120.61905900000001,80.0,UNKNOWN,UNKNOWN,California,San Luis Obispo,79,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-1005,35.043865000000004,-120.581281,300.0,COMMERCIAL,RURAL,California,San Luis Obispo,79,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2001,35.12389,-120.63215,5.0,RESIDENTIAL,SUBURBAN,California,San Luis Obispo,79,Grover Beach,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2002,35.283864,-120.655171,66.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2003,35.02081,-120.53461200000001,70.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2004,35.02083,-120.56388000000001,49.0,INDUSTRIAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2005,35.038309999999996,-120.56211299999998,31.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2006,35.25651,-120.6693,66.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-2007,35.04673,-120.58776999999999,37.5,INDUSTRIAL,RURAL,California,San Luis Obispo,79,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-3001,35.36631,-120.84271000000001,55.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,Morro Bay,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-3002,35.041644,-120.56766999999999,63.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-4001,35.041644,-120.501,101.0,RESIDENTIAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-4002,35.031459999999996,-120.50103,136.0,RESIDENTIAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-4003,35.040399,-120.56922,60.0,RESIDENTIAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-5001,35.142754,-120.632116,10.0,RESIDENTIAL,SUBURBAN,California,San Luis Obispo,79,Pismo Beach (Pismo),"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-6001,35.280803000000006,-120.66264,78.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-7001,35.633303000000005,-120.69267099999999,226.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Luis Obispo,79,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
